Tree #,Month,Cone Stage,Scale Thickness (mm),Seed #,Conopthorus sp. (Beetle larva) ,Megastigmus (Wasp),Midge,Pinyon bore moth,Spider ,Unknown Seed insect,Comments,name,Cone Stage,,1,Young small cones,,,,,,,,,,,,,,
15,February,3,4.5,13,1,0,0,1,1,0,"Piece of a beetle, spider, larvae? Seed overtaken with wasp silk.",SI,"Seed, spider and larvae in vile.",,,,,,,,,,,,,,,,,
15,February,2,5.5,0,0,0,0,0,0,0,,SI,,,,,,,,,,,,,,,,,,
15,February,2,5,0,0,1,0,0,0,0,Wasp larvae,SI,,,,,,,,,,,,,,,,,,
15,February,3,5,0,0,0,0,0,0,0,,SI,,,,,,,,,,,,,,,,,,
16,February,2,4.5,0,0,0,0,0,0,0,,SI,,,,,,,,,,,,,,,,,,
16,February,3,5,0,0,0,0,0,0,0,,SI,,,,,,,,,,,,,,,,,,
16,February,2,5.5,6,0,0,0,0,0,0,Nonviable seed,SI,,,,,,,,,,,,,,,,,,
16,February,2,4,1,0,0,0,0,0,0,non viable seed,SI,,,,,,,,,,,,,,,,,,
16,February,3,4.5,0,0,0,0,0,0,0,Silk present,SI,,,,,,,,,,,,,,,,,,
16,February,1,3,0,1,0,0,0,0,0,Beetle pieces present,SI,,,,,,,,,,,,,,,,,,
17,February,2,5.5,0,0,0,0,0,0,0,,SI,,,,,,,,,,,,,,,,,,
17,February,3,4,0,0,1,0,0,0,0,Wasp larvae,SI,,,,,,,,,,,,,,,,,,
17,February,2,5,0,0,0,0,0,0,0,,SI,,,,,,,,,,,,,,,,,,
17,February,3,5,0,0,0,0,0,0,0,,SI,,,,,,,,,,,,,,,,,,
17,February,2,5.5,0,0,0,0,0,0,0,,SI,,,,,,,,,,,,,,,,,,
17,February,1,3.5,4,0,0,0,0,0,0,frass ,SI,,,,,,,,,,,,,,,,,,
8,March,3,4,0,0,0,0,0,0,0,Very brittle,SI,,,,,,,,,,,,,,,,,,
8,March,3,6,0,0,0,0,0,0,0,Silk,SI,,,,,,,,,,,,,,,,,,
8,March,3,5,1,0,0,0,0,0,0,frass near center,SI,,,,,,,,,,,,,,,,,,
8,March,2,5,1,0,0,0,0,0,0,,SI,,,,,,,,,,,,,,,,,,
8,March,2,4.5,1,0,0,0,0,0,0,,SI,,,,,,,,,,,,,,,,,,
8,March,1,3.5,0,1,0,0,0,0,0,frass entire center of cone. Wasp Silk present throughout,SI,,,,,,,,,,,,,,,,,,
